statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);AUSLAND;Ausland und Sonstige;18,8;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);AUSLAND;Ausland und Sonstige;15589690;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);;Insgesamt;100,0;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);;Insgesamt;82719540;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);LAND000;Deutschland;81,2;%;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEODL1;Deutschland;DG;Deutschland;GBTLD3;Geburtsland (Gruppen);LAND000;Deutschland;67129850;Anzahl;PRS001;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOBL1;Bundesländer;08;Baden-Württemberg;GBTLD3;Geburtsland (Gruppen);LAND000;Deutschland;76,7;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOBL1;Bundesländer;08;Baden-Württemberg;GBTLD3;Geburtsland (Gruppen);LAND000;Deutschland;8522123;Anzahl;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOBL1;Bundesländer;02;Hamburg;GBTLD3;Geburtsland (Gruppen);AUSLAND;Ausland und Sonstige;24,6;%;PRS018;Personen;e
1000A;Bevölkerung kompakt (Gebietsstand 15.05.2022);STAG;Stichtag;2022-05-15;GEOBL1;Bundesländer;02;Hamburg;GBTLD3;Geburtsland (Gruppen);AUSLAND;Ausland und Sonstige;445152;Anzahl;PRS018;Personen;e
